held_out,family,default,raw,embed,concordance,ot114,top5_direct,top1_direct,rf,oracle
12c16g_10-4-4-tpcc-nan,tpcc,0.6161330994408508,0.9703979826773381,1.0,1.0,0.9703979826773381,1.0,1.0,1.0,1.0
12c16g_100-4-4-tpcc-nan,tpcc,0.6224328593996841,0.989104973579561,1.0,0.989104973579561,0.989104973579561,1.0,0.9783188974233263,0.8483957073595905,1.0
12c16g_50-4-4-tpcc-nan,tpcc,0.512204045366644,0.919249464276381,0.9688496315266816,1.0,1.0,0.9688496315266816,0.9688496315266816,0.5735639993728113,1.0
12c16g_64-100000-4-oltp_read_only-0.2,oltp_read_only,0.500663173088176,0.99894672509525,0.99894672509525,0.99894672509525,0.99894672509525,0.9951822425653096,0.9908261056135652,0.99894672509525,1.0
12c16g_64-100000-4-oltp_read_only-0.6,oltp_read_only,0.6232190763941343,0.9987823301122599,0.9973758237178653,0.9935795587737347,0.9931758393457141,0.9969525694788112,0.9983200062511396,0.9973758237178653,1.0
12c16g_64-100000-4-oltp_read_only-1.0,oltp_read_only,0.8903560732113145,0.9977770382695508,0.9977770382695508,0.9976039933444261,0.9976039933444261,0.996053244592346,0.9976039933444261,0.996232945091514,0.9977770382695508
12c16g_64-100000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.40040511155461556,1.0,0.9927020344940574,0.9990467963420809,0.9927020344940574,0.9927020344940574,0.9927020344940574,0.9927020344940574,1.0
12c16g_64-100000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.521215171882865,0.9915020874663192,0.9864980901903888,0.9864980901903888,1.0,0.9915020874663192,1.0,0.9864980901903888,1.0
12c16g_64-100000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.7495583261824239,1.0,1.0,1.0,0.9062137196506991,0.9318308010701124,1.0,1.0,1.0
12c16g_64-100000-4-oltp_read_write_5-0.2,oltp_read_write_5,0.26995889899115705,1.0,0.9999377257441773,0.9999377257441773,0.9999377257441773,1.0,1.0,1.0,1.0
12c16g_64-100000-4-oltp_read_write_5-0.6,oltp_read_write_5,0.3315672745194677,1.0,1.0,1.0,0.9953794972893051,1.0,0.9924223755544603,1.0,1.0
12c16g_64-100000-4-oltp_read_write_5-1.0,oltp_read_write_5,0.5864406779661018,0.9884346959122633,1.0,0.9884346959122633,1.0,1.0,0.9884346959122633,1.0,1.0
12c16g_64-100000-4-oltp_read_write_50-0.2,oltp_read_write_50,0.4540931955115804,0.9971809186888508,0.9971809186888508,0.9971809186888508,1.0,0.9971809186888508,1.0,1.0,1.0
12c16g_64-100000-4-oltp_read_write_50-0.6,oltp_read_write_50,0.5581314135281793,0.9782410143448128,0.9902487508730458,0.938591307150916,0.7067640896147854,0.9894965884059529,1.0,0.938591307150916,1.0
12c16g_64-100000-4-oltp_read_write_50-1.0,oltp_read_write_50,0.5485181727011792,0.9899194245599474,1.0,1.0,0.7662793512466715,1.0,1.0,1.0,1.0
12c16g_64-100000-4-oltp_read_write_80-0.2,oltp_read_write_80,0.43661925887265135,0.9796777139874738,0.9779325417536535,0.9796777139874738,0.9796777139874738,0.9796777139874738,1.0,0.9779325417536535,1.0
12c16g_64-100000-4-oltp_read_write_80-0.6,oltp_read_write_80,0.5099628559636814,0.9885761452744533,0.9904416013206769,0.9904416013206769,0.9885761452744533,0.9885761452744533,0.9904416013206769,1.0,1.0
12c16g_64-100000-4-oltp_read_write_80-1.0,oltp_read_write_80,0.46626371841574055,1.0,1.0,1.0,0.6962342513747418,1.0,0.9883988027564444,1.0,1.0
12c16g_64-100000-4-oltp_read_write_95-0.2,oltp_read_write_95,0.4315363972961038,1.0,1.0,1.0,1.0,1.0,0.9962634600360067,1.0,1.0
12c16g_64-100000-4-oltp_read_write_95-0.6,oltp_read_write_95,0.5307170672754129,1.0,0.9892909896602659,0.9831811467705116,0.614408486638915,0.9759970457902511,1.0,1.0,1.0
12c16g_64-100000-4-oltp_read_write_95-1.0,oltp_read_write_95,0.7413426846950131,0.9589641568601004,0.9969653033010757,0.9996965303301076,0.9280776882354925,0.9996965303301076,1.0,0.9969653033010757,1.0
12c16g_64-100000-4-oltp_write_only-0.2,oltp_write_only,0.5098404724996566,0.972715499480015,1.0,1.0,0.972715499480015,0.8831897651237173,1.0,0.972715499480015,1.0
12c16g_64-100000-4-oltp_write_only-0.6,oltp_write_only,0.4803339982212091,1.0,0.9730331839494339,1.0,1.0,0.9730331839494339,1.0,0.9730331839494339,1.0
12c16g_64-100000-4-oltp_write_only-1.0,oltp_write_only,0.30288405004269064,1.0,1.0,0.9863338667539227,0.9863338667539227,1.0,1.0,1.0,1.0
12c16g_64-1000000-4-oltp_read_only-0.2,oltp_read_only,0.8239274597374475,0.9976767266657645,0.9976767266657645,0.9777146208327694,0.9976767266657645,0.9976767266657645,0.9778048450399243,0.9778048450399243,0.9976767266657645
12c16g_64-1000000-4-oltp_read_only-0.6,oltp_read_only,0.7614198214153938,0.9826950040587411,0.9877499815511771,0.8830160135783337,0.9877499815511771,0.9662940004427718,0.9877499815511771,0.9826950040587411,1.0
12c16g_64-1000000-4-oltp_read_only-1.0,oltp_read_only,0.8281984233430147,0.9536073024113011,1.0,1.0,1.0,0.9887491918909271,0.9858448237598543,0.9887491918909271,1.0
12c16g_64-1000000-4-oltp_read_write_20-0.2,oltp_read_write_20,0.6081911262798635,1.0,1.0,1.0,1.0,1.0,0.9883959044368601,0.9883959044368601,1.0
12c16g_64-1000000-4-oltp_read_write_20-0.6,oltp_read_write_20,0.5519222020018199,1.0,1.0,1.0,0.8063011828935396,1.0,0.9906164695177434,0.9906164695177434,1.0
12c16g_64-1000000-4-oltp_read_write_20-1.0,oltp_read_write_20,0.6858188403063341,0.9539366959671031,0.7392764175500811,0.9539366959671031,0.9539366959671031,0.955898441921002,1.0,0.9375259365450636,1.0
