target,default,raw,embed,concordance,ot114,top5_direct,top1_direct,rf,oracle,rf_pick,top1_pick,ot_pick
10-4-4-tpcc-nan,0.42958158149155745,0.5317579872743216,0.5317579872743216,0.8040447871933809,0.8040447871933809,0.8040447871933809,0.9944016008273939,0.8040447871933809,1.0,32c64g*read_write_5-0.6,8c12gread_write_5-1.0,32c64g*read_write_5-0.6
100-4-4-tpcc-nan,0.6726089106191288,0.7233423062132615,0.6440696588474427,0.6579684667362522,0.7233423062132615,0.924243256606054,0.9673954842608361,0.7233423062132615,1.0,24c32g*read_write_5-0.6,32c64g_50wh-tpcc,32c64g_10wh-tpcc
64-1000000-4-oltp_read_only-0.2,0.9281508508894193,0.882070165730141,0.8651971875783849,0.8442876241553813,0.8651971875783849,0.8259587859730602,0.8868644188325708,0.8651971875783849,0.9698742995451407,32c64g*read_only-1.0,24c32g*read_only-1.0,32c64g*read_only-1.0
64-1000000-4-oltp_read_write_50-0.2,0.7492490118577075,0.9658498023715416,0.9512648221343873,0.9658498023715416,0.9132806324110672,0.9485770750988143,0.8125296442687747,0.9658498023715416,1.0,16c24gwrite_only-0.2,24c32g_100wh-tpcc,32c64g*read_write_50-0.2
64-1000000-4-oltp_write_only-0.2,0.5777113801960475,1.0,0.5482203700791528,1.0,0.4884835141793783,0.8090999633065995,1.0,1.0,1.0,88c190gread_write_5-0.6,12c16gread_write_5-1.0,32c64gwrite_only-0.6
